1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
-9.16E-02	-0.4577636	3.05E-02	-0.3356933	9.16E-02	0.3662109	-0.7324218	0.9460449	-1.617432	-3.753662	0.3662109	0.3967285	1.220703	-0.4577636	0.8239745	0.2441406	0.213623	-0.3967285	-1.983642	-0.3356933	1.403808	-0.1220703	-0.3356933	-0.1831055	0.3967285	-0.5798339	9.16E-02	0.3051758	-0.1525879	1.251221	-9.16E-02	-0.3051758	-0.2441406	0.6408691	-0.5798339	-0.2441406	0.1831055	0.2746582	-0.3662109	-0.1525879	1.00708	-0.3051758	-0.6713867
-0.1831055	-0.3356933	-9.16E-02	-9.16E-02	9.16E-02	0.2441406	-1.251221	1.037598	-2.166748	-3.295898	0.5798339	0.1525879	0.3967285	-0.5798339	6.10E-02	0.213623	0.3662109	2.044677	-0.9765624	-0.6103515	0.4882812	-0.3662109	-3.05E-02	-0.3356933	0.2441406	-0.7019042	-0.1525879	-0.8239745	-6.10E-02	0.2441406	0.4272461	-0.8544921	-0.1831055	0.213623	-0.8239745	-0.4272461	0.3356933	6.10E-02	-0.4272461	0.6103515	0.8544921	-0.3051758	-1.434326
-0.2746582	-0.7019042	-0.2441406	2.166748	-1.89209	0.6713867	-1.342773	0.7629394	-2.563476	-3.356933	0.4882812	-0.2441406	-0.3356933	-0.6713867	-0.7629394	0.2441406	0.9155273	0.5798339	-0.7324218	-0.4272461	-0.1525879	0.1220703	0.4882812	-0.1525879	0.1220703	-0.4882812	0.5187988	-1.281738	9.16E-02	9.16E-02	6.10E-02	-1.312256	-0.3051758	0.1525879	-1.251221	-0.6408691	0.1220703	-0.5187988	-0.4882812	1.464844	0.2746582	0	-1.373291
-0.213623	-1.251221	3.05E-02	1.525879	-1.037598	0.5187988	-1.464844	1.251221	-2.13623	-3.14331	-0.4882812	-6.10E-02	-0.6103515	-0.3967285	6.10E-02	0.3662109	1.12915	-6.10E-02	-1.403808	-0.4882812	-0.213623	0.793457	0.5493163	0	0.2746582	0.7324218	0.9765624	-0.8239745	0.2746582	-0.3356933	0.2746582	-0.9765624	-0.2746582	-0.4882812	-1.190185	-0.3356933	-0.2441406	-6.10E-02	-0.5187988	1.831055	0.4882812	-0.5493163	-1.098633
-0.213623	-1.12915	0.3967285	3.05E-02	-0.8544921	0.7324218	-1.708984	0.8239745	-1.831055	-2.716064	-1.342773	-0.1220703	-0.4882812	-0.3967285	-0.1220703	0.3051758	-0.3051758	-0.1525879	-1.281738	-0.3967285	0	1.220703	0.5493163	0.1220703	0.3051758	0.7019042	0.6713867	-0.3662109	0	-0.7324218	0.3662109	0.4882812	-0.1831055	-0.8850097	-0.9155273	-0.1831055	-3.05E-02	-0.5493163	-9.16E-02	2.288818	0.5187988	-0.4577636	-1.098633
-9.16E-02	-1.617432	0.5493163	-0.1220703	-0.4577636	0.7629394	-1.647949	0.5798339	-1.953125	-1.556396	-0.6713867	-9.16E-02	-0.5187988	-0.1831055	-1.12915	0.7629394	0.3356933	-0.4577636	-1.495361	-0.5187988	-0.2441406	1.159668	0.8850097	0.3967285	0.3051758	-0.1220703	0.4577636	-0.1220703	0.4577636	-0.1525879	1.647949	9.16E-02	-0.3356933	-1.373291	1.037598	0	6.10E-02	-0.1831055	0.1220703	2.319336	0.4882812	-0.3662109	-1.098633
6.10E-02	-1.647949	0.3662109	-0.2746582	-0.8544921	0.9765624	-1.068115	6.10E-02	-2.624511	-1.068115	1.403808	0.1831055	-0.2441406	-3.05E-02	-0.7324218	0.3662109	0.5187988	-0.5798339	-1.922607	-0.5798339	-0.213623	1.251221	2.410888	0.5493163	0.4882812	9.16E-02	0.1831055	-3.05E-02	0.6408691	6.10E-02	2.410888	-0.213623	-0.6103515	-1.00708	1.495361	-0.1525879	9.16E-02	-0.1525879	0.7324218	2.044677	0.8850097	0.1831055	-0.8239745
9.16E-02	-1.068115	3.05E-02	-1.00708	-0.9155273	1.281738	-0.6408691	-0.6713867	-2.532959	-0.7019042	0.9765624	0.1525879	1.190185	-0.213623	0.1525879	-3.05E-02	2.655029	-0.7324218	-1.953125	-0.4882812	-0.5798339	1.068115	1.00708	0.1831055	0.8850097	0.1525879	0.4882812	0.3662109	0.3662109	0.5187988	2.441406	-0.1525879	-0.7629394	-0.6408691	0.2746582	-6.10E-02	0.3967285	6.10E-02	0.6408691	1.495361	0.4272461	-6.10E-02	-0.6103515
0.1525879	-0.9460449	0.213623	-0.5798339	0.2746582	1.403808	-0.3356933	0.1525879	-2.197265	-1.00708	0.6103515	0.3051758	1.12915	-0.3051758	0.7629394	-0.3356933	3.356933	-0.793457	-1.647949	-0.1525879	-0.3967285	1.220703	0.5187988	0.5798339	0.793457	0.1220703	0.2441406	0.5798339	0.2746582	-3.05E-02	1.586914	-0.3662109	-0.1220703	0.4882812	-6.10E-02	9.16E-02	0.1525879	0.2746582	3.05E-02	1.342773	0.5798339	-0.213623	-1.00708
6.10E-02	-0.4577636	-3.05E-02	-0.3662109	0.5798339	0.7324218	-0.6713867	-0.8850097	-1.770019	-0.8239745	0.1525879	0.4577636	1.159668	-0.3967285	0.8544921	-0.1220703	1.617432	-0.8544921	-1.037598	-0.4577636	-0.2746582	1.159668	0.6408691	0.3051758	0.6408691	0.3967285	0.3356933	3.05E-02	0.2441406	-0.3051758	0.6103515	9.16E-02	0.3356933	-0.9460449	-9.16E-02	9.16E-02	0.2441406	0.6103515	-3.05E-02	0.7629394	0.7324218	0.2441406	-0.7019042
